time_s,hz,midi,note,delta_st,kind
186.781315,322.0989,63.6000,E4,1.9000,change
188.197732,295.3660,62.1000,D4,-1.5000,change
190.566168,222.5563,57.2000,A3,-4.9000,change
192.470204,73.8415,38.1000,D2,-19.1000,change
193.445442,66.1664,36.2000,C2,-1.9000,change
193.584762,73.8415,38.1000,D2,1.9000,change
193.724082,66.1664,36.2000,C2,-1.9000,change
193.863401,73.4162,38.0000,D2,1.8000,change
201.549206,65.4064,36.0000,C2,-2.0000,change
203.197823,71.3262,37.5000,D2,1.5000,change
